id,toy_description_id,name,price,image,quantity
1,1,ABC Building Blocks,19.99,abc_blocks.jpg,50
2,2,Plush Teddy Bear,14.95,teddy_bear.jpg,30
3,3,Dino Adventure Set,29.99,dino_set.jpg,20
4,4,Interactive Learning Tablet,39.99,learning_tablet.jpg,15
5,5,Artistic Coloring Kit,16.49,coloring_kit.jpg,40
6,6,Robot Building Kit,24.99,robot_kit.jpg,25
7,7,Puzzle Play Mat,22.95,puzzle_mat.jpg,35
8,8,Adventure Play Tent,34.99,play_tent.jpg,18
9,9,Musical Instruments Set,27.5,music_set.jpg,22
10,10,Remote Control Car,32.99,rc_car.jpg,12
11,11,Soft Baby Rattle,9.95,baby_rattle.jpg,50
12,12,Creative Play Dough Kit,18.75,play_dough_kit.jpg,28
13,13,Outdoor Sports Ball Set,26.5,sports_ball_set.jpg,15
14,14,Wooden Alphabet Blocks,12.99,alphabet_blocks.jpg,40
15,15,Toy Kitchen Playset,49.99,kitchen_playset.jpg,10
16,16,Science Experiment Kit,36.75,science_kit.jpg,20
17,17,Soft Dollhouse,28.95,dollhouse.jpg,16
18,18,Construction Vehicle Set,19.5,construction_vehicles.jpg,25
19,19,Chess and Checkers Set,21.99,chess_set.jpg,18
20,20,Stuffed Animal Zoo,31.25,stuffed_animal_zoo.jpg,12
21,21,Remote Control Helicopter,45.5,helicopter_rc.jpg,15
22,22,Interactive Storybook,14.99,storybook.jpg,30
23,23,Magnetic Building Tiles,26.99,magnetic_tiles.jpg,20
24,24,Dress-Up Costume Set,29.95,dress_up_costume.jpg,18
25,25,Bouncing Ball with Handle,12.75,bouncing_ball.jpg,40
26,26,Toy Doctor Kit,19.99,doctor_kit.jpg,25
27,27,Wooden Train Set,34.5,train_set.jpg,15
28,28,Animal Shape Sorting Cube,15.25,sorting_cube.jpg,30
29,29,Colorful Play Tunnel,22.99,play_tunnel.jpg,20
30,30,Art Easel with Accessories,39.95,art_easel.jpg,12
31,31,Interactive Talking Robot,49.99,talking_robot.jpg,10
32,32,Construction Paper Set,9.5,construction_paper.jpg,35
33,33,Magic Wand and Hat Set,16.75,magic_wand_set.jpg,25
34,34,Wooden Jigsaw Puzzles,13.99,jigsaw_puzzles.jpg,30
35,35,Outdoor Explorer Kit,28.95,explorer_kit.jpg,15
36,36,Plush Animal Hand Puppets,19.25,hand_puppets.jpg,20
37,37,Miniature Dollhouse Furniture,12.99,dollhouse_furniture.jpg,40
38,38,Soccer Ball and Goal Set,24.5,soccer_set.jpg,18
39,39,Musical Keyboard for Kids,36.99,musical_keyboard.jpg,12
40,40,Science Fiction Spaceship,42.5,spaceship_toy.jpg,10
41,41,Artificial Intelligence Robot,59.99,ai_robot.jpg,8
42,42,Basketball Hoop and Ball Set,29.75,basketball_set.jpg,15
43,43,Wooden Building Blocks,17.99,wooden_blocks.jpg,25
44,44,Princess Castle Play Tent,32.95,castle_tent.jpg,12
45,45,Robot Dinosaur Toy,23.5,robot_dinosaur.jpg,20
46,46,Finger Painting Kit,14.25,finger_painting_kit.jpg,30
47,47,Adventure Playset with Figures,39.99,adventure_playset.jpg,10
48,48,Magnetic Fishing Game,18.5,fishing_game.jpg,25
49,49,Tea Party Pretend Playset,26.75,tea_party_set.jpg,18
50,50,Electronic Learning Pad,31.99,learning_pad.jpg,15
51,51,Wooden Dollhouse,49.5,dollhouse_wooden.jpg,12
52,52,Miniature Train Set,15.99,mini_train_set.jpg,20
53,53,Artificial Intelligence Coding Robot,54.99,ai_coding_robot.jpg,10
54,54,Colorful Play Dough Set,12.75,play_dough_set.jpg,30
